Zeitstempel,"Which device do you own?
[If multiple pick the most recent one]",In what condition did you receive your device?,How long have you owned the device for?,Have you had to RMA your device?,Does your foldable screen open all the way?,Did your outer (small) screen break with no fault of your own ?,Did your inner (large) screen break with no fault of your own ?,What kind of screen protector do you use for your outer (small) screen?,What kind of screen protector do you use for your inner (large) screen?,Did your inner default screen protector peel or bubble up?,"Are you seeing micro cracks on the inner screen?
[Tiny scuffs especially at the middle part that look like scratches]",How is the surface of the inner screen holding up?,What is your screen usage?,How often do you fold your device in a day?
18.04.2024 20:34:28,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat","Yes, but at fault of my own",No,None,None,"Yes, after 0–6 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",7,6–10 times
18.04.2024 20:43:28,Z Fold 5,Factory new,Over 24 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
18.04.2024 20:46:46,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,9,More than 20 times a day
18.04.2024 20:47:44,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,More than 20 times a day
18.04.2024 20:48:37,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,0–5 times
18.04.2024 20:49:05,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,9,0–5 times
18.04.2024 20:56:19,Z Fold 2,Used,0–6 months,No,Yes,No,No,None,None,No,"Yes, since 0–6 months","Small scratches, only visible under a certain light",5,16–20 times
18.04.2024 21:01:09,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,5,6–10 times
18.04.2024 21:04:18,Z Fold 4,Used,7–12 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 0–6 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",5,11–15 times
18.04.2024 21:05:31,Z Fold 2,Used,13–18 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 0–6 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",6,6–10 times
18.04.2024 21:22:16,Z Fold 3,Factory new,Over 24 months,"Yes, 1x",Yes,No,No,Default factory one that is pre-applied,3rd party,"Yes, after 13–18 months",No,Completely fine,3,More than 20 times a day
18.04.2024 21:23:13,Z Fold 4,Used,0–6 months,No,"No, 1–20° are missing to be flat",No,No,None,None,No,No,"Small scratches, only visible under a certain light",8,More than 20 times a day
18.04.2024 21:24:10,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,9,6–10 times
18.04.2024 21:24:51,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,6–10 times
18.04.2024 22:14:19,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,0–5 times
18.04.2024 22:16:57,Z Fold 4,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",7,11–15 times
18.04.2024 22:23:56,Z Fold 4,Refurbished,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
18.04.2024 22:27:12,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,7,6–10 times
18.04.2024 22:30:08,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",9,6–10 times
18.04.2024 22:36:58,Z Fold 4,Factory new,13–18 months,No,Yes,No,"Yes, after 7–12 months",None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,3,More than 20 times a day
18.04.2024 22:40:34,Z Fold 5,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
18.04.2024 22:42:14,Z Fold 4,Factory new,13–18 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,7,6–10 times
18.04.2024 22:51:08,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 22:52:29,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 7–12 months",No,Completely fine,7,6–10 times
18.04.2024 22:58:03,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
18.04.2024 23:19:19,Z Fold 5,Refurbished,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,16–20 times
18.04.2024 23:22:46,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,3rd party,No,"Yes, since 7–12 months","Small scratches, only visible under a certain light",3,11–15 times
18.04.2024 23:25:39,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,No,"Yes, since 7–12 months","Small scratches, only visible under a certain light",4,6–10 times
18.04.2024 23:31:44,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,3rd party,None,"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",8,6–10 times
18.04.2024 23:33:46,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
18.04.2024 23:35:12,Z Fold 3,Used,0–6 months,No,Yes,No,No,3rd party,None,"Yes, after 7–12 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",6,More than 20 times a day
18.04.2024 23:36:40,Z Fold 4,Factory new,7–12 months,No,Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 0–6 months","Yes, since 7–12 months","Larger scratches, always visible",4,0–5 times
18.04.2024 23:36:44,Z Fold 3,Used,7–12 months,No,Yes,No,No,3rd party,None,"Yes, after 0–6 months",No,Completely fine,2,0–5 times
18.04.2024 23:55:00,Z Fold 2,Factory new,Over 24 months,No,Yes,"Yes, after more than 24 months",No,None,3rd party,"Yes, after 0–6 months",No,"Small scratches, only visible under a certain light",5,6–10 times
19.04.2024 00:09:54,Z Fold 3,Factory new,0–6 months,No,Yes,"Yes, after 13–18 months",No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,4,More than 20 times a day
19.04.2024 00:09:58,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",1,11–15 times
19.04.2024 00:21:39,Z Fold 4,Factory new,19–24 months,"Yes, 1x","No, 21–45° are missing to be flat",No,No,None,None,"Yes, after 13–18 months",No,Completely fine,6,6–10 times
19.04.2024 00:23:32,Z Fold 4,Factory new,13–18 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,7,6–10 times
19.04.2024 00:28:08,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,3,11–15 times
19.04.2024 01:06:41,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
19.04.2024 01:11:43,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,2,0–5 times
19.04.2024 01:13:16,Z Fold 4,Factory new,7–12 months,No,Yes,No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,2,0–5 times
19.04.2024 01:23:05,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
19.04.2024 01:30:56,Z Fold 3,Factory new,Over 24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 0–6 months",Default factory one that is pre-applied,None,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",3,0–5 times
19.04.2024 01:48:03,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,8,0–5 times
19.04.2024 01:52:44,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
19.04.2024 01:53:17,Z Fold 1,Factory new,Over 24 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,10,More than 20 times a day
19.04.2024 02:00:04,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
19.04.2024 02:02:26,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,None,None,No,"Yes, since 13–18 months","Small scratches, only visible under a certain light",7,More than 20 times a day
19.04.2024 02:12:29,Z Fold 5,Factory new,0–6 months,"Yes, 1x",Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
19.04.2024 02:17:03,Z Fold 3,Factory new,Over 24 months,"Yes, 1x",Yes,No,"Yes, after 19–24 months",None,None,"Yes, after 7–12 months",No,Completely fine,4,0–5 times
19.04.2024 02:21:43,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,None,No,No,Completely fine,1,More than 20 times a day
19.04.2024 02:38:51,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",4,6–10 times
19.04.2024 02:56:28,Z Fold 4,Used,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,16–20 times
19.04.2024 03:14:16,Z Fold 3,Factory new,Over 24 months,"Yes, more than 3x",Yes,"Yes, but at fault of my own","Yes, after 7–12 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",6,6–10 times
19.04.2024 03:16:01,Z Fold 3,Factory new,Over 24 months,No,Yes,No,"Yes, after 13–18 months",None,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",3,6–10 times
19.04.2024 03:27:18,Z Fold 3,Factory new,13–18 months,No,Yes,No,"Yes, after 13–18 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,7,0–5 times
19.04.2024 03:31:32,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
19.04.2024 03:37:18,Z Fold 5,Used,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
19.04.2024 04:29:38,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",3,11–15 times
19.04.2024 04:45:19,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,5,0–5 times
19.04.2024 04:46:43,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,3,More than 20 times a day
19.04.2024 04:56:26,Z Fold 5,Factory new,7–12 months,No,Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,No,"Yes, since 7–12 months","Small scratches, only visible under a certain light",10,0–5 times
19.04.2024 05:43:02,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,4,More than 20 times a day
19.04.2024 05:57:27,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,9,16–20 times
19.04.2024 05:58:12,Z Fold 2,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",9,16–20 times
19.04.2024 06:22:56,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 13–18 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",5,11–15 times
19.04.2024 06:57:36,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,"Yes, after 13–18 months",3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,3,0–5 times
19.04.2024 06:58:05,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,None,No,No,"Small scratches, only visible under a certain light",8,11–15 times
19.04.2024 07:33:43,Z Fold 4,Used,0–6 months,No,Yes,No,No,None,None,"Yes, after 13–18 months",No,Completely fine,2,11–15 times
19.04.2024 07:45:00,Z Fold 3,Used,13–18 months,No,"No, 1–20° are missing to be flat",No,"Yes, after 19–24 months",None,None,"Yes, after 13–18 months","Yes, since 19–24 months","Small scratches, always visible",2,16–20 times
19.04.2024 07:51:15,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,3,6–10 times
19.04.2024 07:53:45,Z Fold 4,Factory new,19–24 months,"Yes, 1x","No, 1–20° are missing to be flat","Yes, but at fault of my own","Yes, but at fault of my own",None,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",7,More than 20 times a day
19.04.2024 08:04:04,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,More than 20 times a day
19.04.2024 08:26:06,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
19.04.2024 10:02:52,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,More than 20 times a day
19.04.2024 10:15:54,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",4,More than 20 times a day
19.04.2024 10:58:48,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,Default factory one that is pre-applied,3rd party,"Yes, after 13–18 months",No,Completely fine,3,More than 20 times a day
19.04.2024 13:06:22,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
19.04.2024 13:11:01,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",9,6–10 times
19.04.2024 14:01:00,Z Fold 4,Factory new,13–18 months,"Yes, 2x","No, 1–20° are missing to be flat","Yes, after 0–6 months","Yes, after 0–6 months",None,Default factory one that is pre-applied,"Yes, after 0–6 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",2,11–15 times
19.04.2024 14:25:38,Z Fold 4,Factory new,13–18 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,9,0–5 times
19.04.2024 14:55:24,Z Fold 5,Factory new,7–12 months,No,Yes,No,"Yes, after 0–6 months",None,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
19.04.2024 15:32:31,Z Fold 4,Factory new,13–18 months,"Yes, 1x","No, 21–45° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,7,11–15 times
19.04.2024 15:33:12,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
19.04.2024 15:33:22,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
19.04.2024 15:45:43,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
19.04.2024 16:19:40,Z Fold 3,Factory new,Over 24 months,"Yes, 1x",Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,6,11–15 times
19.04.2024 16:38:38,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
19.04.2024 17:40:22,Z Fold 4,Factory new,19–24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,7,11–15 times
19.04.2024 21:46:33,Z Fold 4,Factory new,7–12 months,No,Yes,No,No,3rd party,None,"Yes, after 7–12 months",No,Completely fine,7,11–15 times
19.04.2024 22:38:01,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
19.04.2024 23:45:22,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,None,No,No,Completely fine,8,More than 20 times a day
20.04.2024 02:35:22,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,8,6–10 times
20.04.2024 06:21:07,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",2,0–5 times
20.04.2024 07:46:06,Z Fold 5,Factory new,7–12 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,7,16–20 times
20.04.2024 10:08:18,Z Fold 4,Factory new,Over 24 months,No,Yes,No,No,None,None,"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",7,6–10 times
20.04.2024 14:24:31,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
20.04.2024 14:50:40,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
20.04.2024 14:52:31,Z Fold 3,Factory new,13–18 months,No,Yes,No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,2,More than 20 times a day
20.04.2024 19:33:42,Z Fold 4,Refurbished,0–6 months,No,Yes,"Yes, but at fault of my own",No,3rd party,3rd party,"Yes, after 0–6 months",No,Completely fine,7,11–15 times
20.04.2024 20:01:49,Z Fold 3,Refurbished,0–6 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,No,"Yes, since 0–6 months",Completely fine,10,16–20 times
20.04.2024 20:38:04,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,3rd party,No,No,Completely fine,3,More than 20 times a day
20.04.2024 20:59:28,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
20.04.2024 23:12:01,Z Fold 5,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
20.04.2024 23:34:47,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
21.04.2024 01:13:45,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,None,3rd party,"Yes, after 0–6 months",No,Completely fine,3,0–5 times
21.04.2024 04:10:16,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,9,More than 20 times a day
21.04.2024 05:40:34,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Samsung official replacement (e. g. at a Service Centre),No,No,Completely fine,6,0–5 times
21.04.2024 14:07:29,Z Fold 2,Used,Over 24 months,No,Yes,No,No,None,None,"Yes, after 0–6 months","Yes, since 7–12 months","Small scratches, always visible",7,6–10 times
21.04.2024 18:12:35,Z Fold 5,Used,0–6 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,3,16–20 times
21.04.2024 18:16:30,Z Fold 4,Factory new,19–24 months,No,Yes,No,"Yes, but at fault of my own",None,Default factory one that is pre-applied,No,No,"Larger scratches, always visible",1,0–5 times
22.04.2024 01:07:35,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,"Yes, since 0–6 months","Small scratches, only visible under a certain light",4,6–10 times
22.04.2024 02:51:23,Z Fold 4,Refurbished,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
22.04.2024 12:41:11,Z Fold 3,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,No,"Yes, since 7–12 months",Completely fine,3,11–15 times
05.05.2024 04:32:29,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",5,11–15 times
06.05.2024 22:57:33,Z Fold 3,Refurbished,0–6 months,No,Yes,No,No,3rd party,None,No,"Yes, since 0–6 months","Small scratches, only visible under a certain light",6,6–10 times
07.05.2024 10:01:53,Z Fold 2,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 0–6 months","Yes, since 13–18 months","Small scratches, always visible",8,More than 20 times a day
04.06.2024 08:23:11,Z Fold 4,Factory new,Over 24 months,No,Yes,No,No,3rd party,None,"Yes, after 13–18 months",No,Completely fine,5,6–10 times
31.07.2024 22:12:32,Z Fold 4,Factory new,19–24 months,No,Yes,No,"Yes, after 19–24 months",3rd party,3rd party,"Yes, after 13–18 months","Yes, since 19–24 months","Small scratches, always visible",4,11–15 times
25.03.2025 14:20:33,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,0–5 times
25.03.2025 14:23:27,Z Fold 4,Factory new,Over 24 months,No,Yes,No,"Yes, after 13–18 months",3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,7,0–5 times
25.03.2025 14:25:02,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
25.03.2025 14:28:01,Z Fold 5,Factory new,13–18 months,"Yes, 1x",Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,7,11–15 times
25.03.2025 14:29:39,Z Fold 4,Factory new,19–24 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",5,More than 20 times a day
25.03.2025 14:33:23,Z Fold 6,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,9,0–5 times
25.03.2025 14:34:25,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,2,0–5 times
25.03.2025 14:40:45,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,None,"Yes, after 13–18 months","Yes, since 13–18 months",Completely fine,7,11–15 times
25.03.2025 14:41:43,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,More than 20 times a day
25.03.2025 14:42:55,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 19–24 months",No,Completely fine,7,More than 20 times a day
25.03.2025 14:46:28,Z Fold 3,Factory new,Over 24 months,"Yes, 2x",Yes,"Yes, after 7–12 months",No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 0–6 months",No,Completely fine,4,6–10 times
25.03.2025 15:01:49,Z Fold 4,Refurbished,0–6 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",None,None,"Yes, after 0–6 months",No,"Small scratches, only visible under a certain light",4,6–10 times
25.03.2025 15:02:08,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,7,6–10 times
25.03.2025 15:03:05,Z Fold 3,Used,Over 24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,3,6–10 times
25.03.2025 15:26:25,Z Fold 6,Refurbished,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,6,0–5 times
25.03.2025 15:30:32,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,1,More than 20 times a day
25.03.2025 15:37:20,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
25.03.2025 15:42:13,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,16–20 times
25.03.2025 15:54:05,Z Fold 6,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
25.03.2025 15:54:38,I don't own any of them,,,,,,,,,,,,,
25.03.2025 16:02:10,Z Fold 3,Factory new,Over 24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 0–6 months",No,Completely fine,4,0–5 times
25.03.2025 16:03:26,Z Fold 6,Factory new,7–12 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 0–6 months",None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",4,6–10 times
25.03.2025 16:11:06,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",6,6–10 times
25.03.2025 16:16:36,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,7,6–10 times
25.03.2025 16:18:33,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 19–24 months",No,Completely fine,7,6–10 times
25.03.2025 16:19:31,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,None,"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",7,11–15 times
25.03.2025 16:25:43,Z Fold 6,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,16–20 times
25.03.2025 16:30:42,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,3rd party,"Yes, after 7–12 months",No,Completely fine,7,6–10 times
25.03.2025 16:32:41,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 13–18 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",7,16–20 times
25.03.2025 16:34:11,Z Fold 6,Used,0–6 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,16–20 times
25.03.2025 16:45:34,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,None,None,No,No,Completely fine,7,11–15 times
